# spec: core.md
# sha256: 1e4e06add9150804e88f1ae9017191976598e1d0e90118e21ff404a06bcb5629
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
term	subject	defined_in	note
roads.jsonl	road graph	UNDEFINED	extract file
railroads.jsonl	road graph	UNDEFINED	extract file
crosses_water	crosses_water	Road graph	road_edge column
betweenness	betweenness	Road graph	road_edge column
Brandes	betweenness	Road graph	algorithm
--betweenness-samples	betweenness samples	Road graph	
nopath	seeds	UNDEFINED	
coverage check	road coverage	Road graph	
latlon_samples	latlon_samples	UNDEFINED	config.json key
transverse Mercator	crs fit	Projection	
crs_proj4	crs_proj4	Projection	meta key
--allow-crs-residual	crs residual	Projection	
Theatre::open	theatre open	Reader	file::Theatre::open
LRU	tile lru	Reader	
Window	grid window	Reader	grid::Window
sample	grid sample	Reader	grid::sample
visible	los visible	Line of sight	los::visible
viewshed	los viewshed	Line of sight	los::viewshed
spectrum	los spectrum	Line of sight	los::spectrum
approach_spectrum	los spectrum	UNDEFINED	operation in query-operations.md
terrain.isVisible	los validation	UNDEFINED	DCS API
synthetic theatre	synth theatre	Synthetic theatre	
Theatre::new	synth theatre	Synthetic theatre	synth::Theatre::new
Lua harness	lua harness fake	UNDEFINED	
check-extract	check-extract	Subcommands in this spec	
pack	pack subcommand	Subcommands in this spec	
check	check subcommand	Subcommands in this spec	
stamp	stamp subcommand	Subcommands in this spec	
schema	schema subcommand	Subcommands in this spec	
schemars	schema subcommand	UNDEFINED	Rust crate
--json	pack report	Subcommands in this spec	
DCSTERRAIN_EXTRACT	DCSTERRAIN_EXTRACT	Testing	environment variable
Kotlin client	schema subcommand	UNDEFINED	
validation sortie	half-cell sampling	UNDEFINED	
name_id	airdrome table	Packed file	airdrome column
node_red	poi table	Packed file	poi kind, one of two rows per nodes.json node
node_blue	poi table	Packed file	poi kind, one of two rows per nodes.json node
validation_route_ratio	validation figures	Packed file	meta key
fill_height	meta keys	Packed file	meta key
fill_water	meta keys	Packed file	meta key
fill_seabed	meta keys	Packed file	meta key
tile_size (pack)	tile size	Grids	pack config key, default 64; not the extract tile size
fill	fill cell	Grids	a cell whose height/water/seabed equal the fill triple
fill triple	fill triple	Grids	per-theatre (height, water, seabed) fill values from config.json.fill
sea tile	absent tile	Grids	absent tile whose water tile is entirely 2 and has no height tile
fill tile	absent tile	Grids	absent tile with no water tile; nodata for every grid, valid 0
--install	check install	Subcommands in this spec	check flag
query-time layer	query-time layers	Grids	slope, aspect, roughness, tpi_300; computed from the height window
--cell-size	pack flags	Subcommands in this spec	pack flag, sets pack config cell_size
500 000 km² rule	cell_size config	Grids	default cell_size 50 below, 100 above
derived_from	query-time layers	Grids	grid column; 'height' for the query-time layers
rule:nofootprint	nofootprint rule	Scenery classification	scenery_class.source value
reason	class override	Scenery classification	override table field
BAK	industrial regex	Scenery classification	regex term
classes/Caucasus.toml	classes/Caucasus.toml	Scenery classification	
classes-Caucasus.toml	classes/Caucasus.toml	Scenery classification	draft beside the documents
Logging	logging	Subcommands in this spec	
--verbose	logging	Subcommands in this spec	
--log	logging	Subcommands in this spec	serve only
stderr	logging	Subcommands in this spec	
