# spec: probe-log-2.9.29.27278.md
# sha256: 61ebfd3132178c831468edcc64fd75a1158e1e8dc405e5eff7e13f617bb61323
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
subject	kind	status	claim	section	anchor
nodesmapborders	dependency		entry.lua nodesMapBorders gives the authored area x −418.6..26.4 km, z 113.7..943.2 km.	GetTerrainConfig from the hook	`entry.lua` `nodesMapBorders` is x −418.6..26.4 km, z 113.7..943.2 km, so the
bounds rectangle	behavior		The bounds describe the raster, not the authored hull.	GetTerrainConfig from the hook	bounds describe the raster, not the authored hull.
nodesmapborders	dependency		Only the Caucasus nodesMapBorders bounds the authored area; the other theatres' values in MissionGenerator/nodesMap.lua do not.	GetTerrainConfig from the hook	`nodesMapBorders` bounds the authored area; the other theatres' values
nodesmapborders	behavior		Where nodesMapBorders does not bound the authored area, the pre-sweep finds the hull (Plan measurement V0).	GetTerrainConfig from the hook	(`MissionGenerator/nodesMap.lua`) do not, and the pre-sweep finds the
airdrome reference_point	dependency		Kutaisi key 25 (id field "KUTAISI", code UGKO) has reference_point (−284887, 683859).	GetTerrainConfig from the hook	Airdrome sample: Kutaisi key 25 (`id` field `"KUTAISI"`, `code` `UGKO`)
airdrome reference_point	dependency		Batumi key 22 has reference_point (−355811, 617386).	GetTerrainConfig from the hook	22 (−355811, 617386)
airdrome reference_point	dependency		Sochi-Adler key 18 has reference_point (−164496, 462219).	GetTerrainConfig from the hook	Sochi-Adler key 18 (−164496, 462219)
airdromes	dependency		The Airdromes table key is the numeric airdrome id and equals Airbase:getID() in the mission state (Kutaisi 25, Batumi 22).	GetTerrainConfig from the hook	airdrome id and equals `Airbase:getID()` in the mission state (Kutaisi
airdromes	dependency		The entry's id field is a string.	GetTerrainConfig from the hook	25, Batumi 22); the entry's `id` field is a string. `towers`,
airdromes	dependency		towers, warehouses, fueldepots and shelters are arrays of "externalId:NNN" strings.	GetTerrainConfig from the hook	`warehouses`, `fueldepots` and `shelters` are arrays of
airdromes	dependency		Airdromes has 21 entries, none abandoned.	GetTerrainConfig from the hook	`"externalId:NNN"` strings. 21 entries, none `abandoned`. `roadnet` is
roadnet	dependency		roadnet is ./Mods/terrains/Caucasus/AirfieldsTaxiways/<Name>.rn4.	GetTerrainConfig from the hook	`./Mods/terrains/Caucasus/AirfieldsTaxiways/<Name>.rn4`
terrain.getheight	dependency		terrain.GetHeight(x, z) returns a number.	Height and surface, hook	`terrain.GetHeight(x, z)` returns a number.
terrain.getheight	dependency		GetHeight costs 0.0018 ms/call on 20 000 random points across the authored area.	Height and surface, hook	| 20 000 random points across the authored area | 0.0018 |
terrain.getheight	dependency		GetHeight costs 0.00045 ms/call on 20 000 sequential points 0.5 m apart.	Height and surface, hook	| 20 000 sequential points 0.5 m apart | 0.00045 |
terrain.getsurfacetype	dependency		terrain.GetSurfaceType(x, z) returns a string, not the land.SurfaceType integer.	Height and surface, hook	`terrain.GetSurfaceType(x, z)` returns a **string**, not the `land.SurfaceType`
terrain.getsurfacetype	dependency		Values seen over 60 000 samples are land, sea, lake and river.	Height and surface, hook	Values seen over 60 000 samples: `land`, `sea`, `lake`, `river`.
terrain.getsurfacetype	dependency		No road or runway string appeared on a 20 km line through Kutaisi airfield.	Height and surface, hook	`road` or `runway` string appeared on a 20 km line through Kutaisi airfield,
terrain.getsurfacetype	dependency		The hook classification is water-body only; road and runway come from land.getSurfaceType in the mission state.	Height and surface, hook	so the hook classification is water-body only; road and runway come from
terrain.getsurfacetype	dependency		GetSurfaceType costs 0.113 ms/call on 40 000 random points.	Height and surface, hook	| 40 000 random | 0.113 |
terrain.getsurfacetype	dependency		GetSurfaceType costs 0.00065 ms/call on 20 000 sequential points 1 m apart.	Height and surface, hook	| 20 000 sequential 1 m apart | 0.00065 |
terrain.getsurfacetype	dependency		Random access is 170× slower than sequential for surface type.	Height and surface, hook	Random access is 170× slower than sequential for surface type; sweep
sweep order	constraint		Sweeps run row-major.	Height and surface, hook	row-major.
terrain.getsurfaceheightwithseabed	dependency		GetSurfaceHeightWithSeabed returns two numbers; land gives (height, 0).	Height and surface, hook	`terrain.GetSurfaceHeightWithSeabed(x, z)` returns two numbers: land gives
terrain.getsurfaceheightwithseabed	dependency		Sea gives (0, depth) with depth positive, e.g. (0, 63.48) off Batumi.	Height and surface, hook	`(0, depth)` with depth positive, e.g. `(0, 63.48)`
terrain.getsurfaceheightwithseabed	behavior		The seabed channel separates in-bounds sea from the out-of-bounds fill.	Height and surface, hook	off Batumi. This separates in-bounds sea from the out-of-bounds fill.
terrain.getobjectsatmappoint	dependency		getObjectsAtMapPoint(x, z) is a point-in-footprint test returning nil unless the point lies inside an object's oriented box.	Scenery	`terrain.getObjectsAtMapPoint(x, z)` is a point-in-footprint test: nil unless
terrain.getobjectsatmappoint	dependency		getObjectsAtMapPoint costs 0.004 ms/call.	Scenery	the point lies inside an object's oriented box. 0.004 ms/call.
terrain.getobjectsatmappoint	dependency		A hit returns an array of tables with id (a string of digits), model (lowercase type name), type, radius, rotation (rad), and four positional arrays sizeOBB, center, boxMin and boxMax.	Scenery	an array of tables with `id` (a string of digits), `model` (lowercase type name),
terrain.getobjectsatmappoint	dependency		type values 65536, 65537 and 131072 were seen; over 1 km² of Kutaisi city 203, 374 and 15 hits.	Scenery	`type` (65536, 65537 and 131072 seen; over 1 km² of Kutaisi city 203,
terrain.getobjectsatmappoint	dependency		sizeOBB is [1] w, [2] d and center is [1] x, [2] z.	Scenery	`sizeOBB` (`[1]` w, `[2]` d), `center` (`[1]` x, `[2]` z), `boxMin`,
terrain.getobjectsatmappoint	dependency		concrete_wall_01 has sizeOBB {0.08, 4}.	Scenery	Example: `concrete_wall_01` sizeOBB `{0.08, 4}`;
terrain.getobjectsatmappoint	dependency		sklad_new has sizeOBB {41.4, 43.3}.	Scenery	`sklad_new` sizeOBB `{41.4, 43.3}`; `school_a` id 70741507 center
terrain.getobjectsatmappoint	dependency		school_a has id 70741507, center {-273176.5, 700435.4}, sizeOBB {52.0, 52.3} and rotation 0.183.	Scenery	`{-273176.5, 700435.4}` sizeOBB `{52.0, 52.3}` rotation 0.183.
kutaisi lattice	dependency		A 5 m lattice over 1 km² of Kutaisi city took 40 401 calls in 0.2 s.	Scenery	A 5 m lattice over 1 km² of Kutaisi city (40 401 calls, 0.2 s) found 106
kutaisi lattice	dependency		The lattice found 106 distinct objects across 30 models, all buildings, poles and wire.	Scenery	distinct objects across 30 models, all buildings, poles and wire.
world.searchobjects	dependency		world.searchObjects with a SCENERY SPHERE volume in server enumerates every scenery object in the volume.	Scenery	params={point=vec3, radius=r}}, handler, acc)` in `server` enumerates every
world.searchobjects	dependency		The handler signature is (object, acc) and it returns true to continue.	Scenery	scenery object in the volume. Handler signature `(object, acc)`, return true
scenery object	dependency		getTypeName() gives the uppercase model name.	Scenery	to continue. `getTypeName()` gives the uppercase model name; `getDesc()` has
scenery object	dependency		getDesc() has life, _origin, category, typeName and displayName.	Scenery	`life`, `_origin`, `category`, `typeName`, `displayName`; `getLife()` 400 on a
scenery object	dependency		getLife() returns 400 on a warehouse.	Scenery	`getLife()` 400 on a
scenery object	dependency		The object has no getID method; getName() returns the numeric id as a Lua number.	Scenery	warehouse. The object has no `getID` method; `getName()` returns the
scenery object	dependency		For SCHOOL_A at (−273177, 700435) getName() is 70741507, the same digits terrain.getObjectsAtMapPoint returns as the string id for that building.	Scenery	is 70741507, the same digits `terrain.getObjectsAtMapPoint` returns as
scenery object	dependency		"70741507" == 70741507 is false in Lua; compare tostring of both ids.	Scenery	in Lua; compare `tostring` of both). `getPoint().y` is the ground
scenery object	dependency		getPoint().y is the ground height (163.4 m).	Scenery	height (163.4 m).
scenery object	dependency		getCategory() is 5 (Object.Category.SCENERY) while getDesc().category is 4.	Scenery	`getCategory()` is 5 (`Object.Category.SCENERY`); `getDesc().category`
searchobjects timing	dependency		A 500 m sphere on Kutaisi city returns 130 objects of 29 models in under 1 ms.	Scenery	| Kutaisi city | 500 m | 130 | 29 | <1 ms |
searchobjects timing	dependency		A 5 km sphere on Kutaisi city returns 6 354 objects of 99 models in 21 ms.	Scenery	| Kutaisi city | 5 km | 6 354 | 99 | 21 ms |
searchobjects timing	dependency		A 20 km sphere on Kutaisi city returns 50 196 objects of 130 models in 134 ms.	Scenery	| Kutaisi city | 20 km | 50 196 | 130 | 134 ms |
searchobjects timing	dependency		A 500 m sphere on the Sochi hills (43.55 N 39.95 E) returns 0 objects in under 1 ms.	Scenery	| Sochi hills (43.55 N 39.95 E) | 500 m | 0 | 0 | <1 ms |
searchobjects timing	dependency		A 5 km sphere on the Sochi hills returns 824 objects of 38 models in 5 ms.	Scenery	| Sochi hills | 5 km | 824 | 38 | 5 ms |
searchobjects timing	dependency		The whole theatre's scenery takes a few seconds of searchObjects calls.	Scenery	The whole theatre's scenery is a few seconds of `searchObjects` calls.
trees	dependency		Trees are not scenery objects.	Scenery	**Trees are not scenery objects.**
trees	dependency		Two wooded hill sites, Sochi hills and Sataplia, return zero objects within 500 m by both methods.	Scenery	near Kutaisi) return zero objects within 500 m by both methods, while the 5 km
trees	dependency		The 5 km sphere around the Sochi point returns only houses, shops and light poles.	Scenery	sphere around the same Sochi point returns only houses, shops and light poles.
blk_light_pole	dependency		BLK_LIGHT_POLE is the most common model everywhere, 14 960 of 50 196 within 20 km.	Scenery	`BLK_LIGHT_POLE` is the most common model everywhere (14 960 of 50 196 in
land.getip	dependency		land.getIP with a downward ray from h+200 returns a vec3 at exactly the land.getHeight value at the same point.	getIP	`land.getIP({x, y=h+200, z}, {x=0, y=-1, z=0})` returns a vec3 at exactly the
land.getip	dependency		This holds in woods, in a city and at a warehouse's own origin, 162.95 m at the SKLAD_NEW centre.	getIP	warehouse's own origin (162.95 m at the SKLAD_NEW centre, equal to ground).
land.getip	dependency		The getIP ray hits terrain only.	getIP	The ray hits terrain only.
land.getip	dependency		A third length argument is accepted and changes nothing.	getIP	A third length argument is accepted and changes
land.getip	dependency		No canopy or structure height is reachable through getIP.	getIP	nothing. No canopy or structure height is reachable this way.
land.profile	dependency		land.profile(vec3, vec3) returns an array of {x, y, z}.	land.profile	`land.profile(vec3, vec3)` returns an array of `{x, y, z}`:
land.profile	dependency		A 9.8 km hills segment gives 127 points in 5 ms, gaps 1.8/59/258 m, max height difference 1.28 m.	land.profile	| 9.8 km hills | 127 | 5 ms | 1.8 / 59 / 258 m | 1.28 m |
land.profile	dependency		A 2.0 km hills segment gives 30 points in under 1 ms, gaps 8/48/212 m, max height difference 1.88 m.	land.profile	| 2.0 km hills | 30 | <1 ms | 8 / 48 / 212 m | 1.88 m |
land.profile	dependency		A 200 m hills segment gives 3 points in under 1 ms, gaps 63/102/102 m, max height difference 0.002 m.	land.profile	| 200 m hills | 3 | <1 ms | 63 / 102 / 102 m | 0.002 m |
land.profile	dependency		A 9.9 km plain segment gives 129 points in 2 ms, gaps 0.16/62/288 m, max height difference 1.46 m.	land.profile	| 9.9 km plain | 129 | 2 ms | 0.16 / 62 / 288 m | 1.46 m |
land.profile	dependency		The first profile point is 20 m from the requested start and spacing is irregular.	land.profile	The first point is 20 m from the requested start, spacing is irregular, and
land.profile	dependency		Profile heights differ from getHeight by up to 1.9 m, so the points are crossings of a coarser mesh.	land.profile	heights differ from `getHeight` by up to 1.9 m, so the points are crossings of
land.profile	nongoal		land.profile is not useful for the sweep.	land.profile	some coarser mesh, not the height posts. Not useful for the sweep: 200
land.profile	dependency		200 terrain.GetHeight calls over the same 10 km cost 0.1 ms.	land.profile	`terrain.GetHeight` calls over the same 10 km cost 0.1 ms.
terrain.getclosestpointonroads	dependency		getClosestPointOnRoads("roads", x, z) returns x, z; the snap from Kutaisi city centre is 58 m.	Roads, hook	`terrain.getClosestPointOnRoads("roads", x, z)` returns `x, z`; 58 m snap from
terrain.getclosestpointonroads	dependency		"railroads" returns the nearest rail point, 1.3 km from Kutaisi city centre.	Roads, hook	`"railroads"` returns the nearest rail point (1.3 km).
terrain.getclosestpointonroads	dependency		getClosestPointOnRoads costs 0.26 ms/call on random points in a 60 km box.	Roads, hook	0.26 ms/call on random points in a 60 km box.
terrain.findpathonroads	dependency		findPathOnRoads("roads", x1, z1, x2, z2) from Kutaisi city to Kutaisi airfield returns 161 points {x, y} with y meaning z.	Roads, hook	`terrain.findPathOnRoads("roads", x1, z1, x2, z2)` from Kutaisi city to
terrain.findpathonroads	dependency		The Kutaisi path is 23 257 m with vertex spacing 4.7 m to 5 230 m and took 16 ms.	Roads, hook	Kutaisi airfield: 161 points `{x, y}` (`y` is z), 23 257 m, vertex spacing
terrain.findpathonroads	dependency		Endpoints are snapped; the first point equals the getClosestPointOnRoads snap of the start.	Roads, hook	4.7 m to 5 230 m, 16 ms. Endpoints are snapped: first point equals the
terrain.findpathonroads	dependency		findPathOnRoads("railroads") between the same points returned nil.	Roads, hook	`getClosestPointOnRoads` snap of the start. `"railroads"` between the same
terrain.isvisible	dependency		terrain.isVisible(x1, alt1, z1, x2, alt2, z2) was checked against an offline straight-line check sampling GetHeight every 10 m.	Visibility	`terrain.isVisible(x1, alt1, z1, x2, alt2, z2)` against an offline
terrain.isvisible	dependency		300 random pairs 0.5 to 15 km apart at 2 m AGL in the Sochi hills agree 300 of 300.	Visibility	15 km apart at 2 m AGL in the Sochi hills: **300 of 300 agree**. DCS call
terrain.isvisible	dependency		The DCS isVisible call costs 0.14 ms; the offline Lua check costs 0.16 ms.	Visibility	0.14 ms; offline 0.16 ms in Lua.
terrain.isvisible	dependency		Buildings do not block isVisible; points across a 41 × 43 m warehouse in Kutaisi all report visible.	Visibility	Buildings do not block it: across a 41 × 43 m warehouse in Kutaisi, points at
terrain.isvisible	dependency		The warehouse test used ±60, ±100, ±200 m along one axis at 0.5, 2, 5 and 20 m AGL.	Visibility	±60, ±100, ±200 m along one axis at 0.5, 2, 5 and 20 m AGL all report
terrain.isvisible	dependency		isVisible tests terrain only.	Visibility	visible. Terrain only.
farp siting example	definition		The FARP search covers a 20 × 20 km box around Kutaisi airfield with 100 m cells.	FARP siting example, live	20 × 20 km box around Kutaisi airfield, 100 m cells, footprint 120 × 80 m
farp siting example	definition		The footprint is 120 × 80 m tested at two orientations.	FARP siting example, live	tested at two orientations, criteria: surface `land`, height span across the
farp siting criteria	constraint		Criteria are surface land, height span ≤ 2.5 m, 200 m to 3 km from a road, ≥ 3 km from the airfield.	FARP siting example, live	footprint ≤ 2.5 m, 200 m to 3 km from a road, ≥ 3 km from the airfield.
farp siting example	dependency		40 401 cells took 4.9 s from the hook with 6 height, 1 surface and 1 road call per surviving cell.	FARP siting example, live	40 401 cells in 4.9 s from the hook (6 height, 1 surface, 1 road call per
farp siting example	dependency		Rejections were 1 220 not land, 3 170 too steep, 2 721 inside the airfield exclusion, 7 205 outside the road band.	FARP siting example, live	surviving cell). Rejections: 1 220 not land, 3 170 too steep, 2 721 inside
farp siting example	dependency		26 085 cells were kept.	FARP siting example, live	the airfield exclusion, 7 205 outside the road band; 26 085 kept. Top 8 after
farp ranking	behavior		The top 8 follow 2 km non-maximum suppression, ranked by span then road distance.	FARP siting example, live	2 km non-maximum suppression, ranked by span then road distance:
farp candidate	dependency		FARP candidate 1 is at (−286787, 677859), 42.16669 N 42.40710 E, h 35 m, span 0.01 m, road 233 m, airfield 6 294 m.	FARP siting example, live	| 1 | −286787 | 677859 | 42.16669 | 42.40710 | 35 | 0.01 | 233 | 6 294 |
farp candidate	dependency		FARP candidate 2 is at (−275487, 684259), 42.26072 N 42.49869 E, h 76 m, span 0.13 m, road 218 m, airfield 9 409 m.	FARP siting example, live	| 2 | −275487 | 684259 | 42.26072 | 42.49869 | 76 | 0.13 | 218 | 9 409 |
farp candidate	dependency		FARP candidate 3 is at (−287787, 684759), 42.15096 N 42.48816 E, h 40 m, span 0.12 m, road 233 m, airfield 3 036 m.	FARP siting example, live	| 3 | −287787 | 684759 | 42.15096 | 42.48816 | 40 | 0.12 | 233 | 3 036 |
farp candidate	dependency		FARP candidate 4 is at (−283387, 679459), 42.19532 N 42.43074 E, h 40 m, span 0.15 m, road 211 m, airfield 4 649 m.	FARP siting example, live	| 4 | −283387 | 679459 | 42.19532 | 42.43074 | 40 | 0.15 | 211 | 4 649 |
farp candidate	dependency		FARP candidate 5 is at (−287487, 675859), 42.16245 N 42.38229 E, h 33 m, span 0.16 m, road 206 m, airfield 8 412 m.	FARP siting example, live	| 5 | −287487 | 675859 | 42.16245 | 42.38229 | 33 | 0.16 | 206 | 8 412 |
farp candidate	dependency		FARP candidate 6 is at (−294387, 676359), 42.10064 N 42.37913 E, h 40 m, span 0.14 m, road 235 m, airfield 12 104 m.	FARP siting example, live	| 6 | −294387 | 676359 | 42.10064 | 42.37913 | 40 | 0.14 | 235 | 12 104 |
farp candidate	dependency		FARP candidate 7 is at (−282187, 693859), 42.19157 N 42.60435 E, h 83 m, span 0.17 m, road 222 m, airfield 10 358 m.	FARP siting example, live	| 7 | −282187 | 693859 | 42.19157 | 42.60435 | 83 | 0.17 | 222 | 10 358 |
farp candidate	dependency		FARP candidate 8 is at (−280487, 688559), 42.21200 N 42.54335 E, h 74 m, span 0.15 m, road 257 m, airfield 6 438 m.	FARP siting example, live	| 8 | −280487 | 688559 | 42.21200 | 42.54335 | 74 | 0.15 | 257 | 6 438 |
rioni plain	dependency		The Rioni plain is flat, so slope discriminates little there.	FARP siting example, live	The Rioni plain is flat, so slope discriminates little here. Second pass in
farp second pass	dependency		The server second pass for all eight candidates took 20 ms and counted scenery within 100 m and 500 m.	FARP siting example, live	`server` (20 ms for all eight): scenery objects within 100 m and 500 m, and
ground exposure	definition		Ground exposure is the fraction of 36 observers (12 bearings × 3, 6, 10 km, 2 m AGL) that see the site at 2 m AGL.	FARP siting example, live	ground exposure = fraction of 36 observers (12 bearings × 3, 6, 10 km, 2 m
farp candidate	dependency		Candidate 1 has 0 scenery in 100 m, 65 in 500 m (light poles 33, houses), ground exposure 0.72.	FARP siting example, live	| 1 | 0 | 65 | light poles 33, houses | 0.72 |
farp candidate	dependency		Candidate 2 has 0 scenery in 100 m, 0 in 500 m, ground exposure 0.42.	FARP siting example, live	| 2 | 0 | 0 | — | 0.42 |
farp candidate	dependency		Candidate 3 has 14 scenery in 100 m, 132 in 500 m (light poles 34, houses), ground exposure 0.78.	FARP siting example, live	| 3 | 14 | 132 | light poles 34, houses | 0.78 |
farp candidate	dependency		Candidate 4 has 0 scenery in 100 m, 46 in 500 m (light poles 13, houses), ground exposure 0.42.	FARP siting example, live	| 4 | 0 | 46 | light poles 13, houses | 0.42 |
farp candidate	dependency		Candidate 5 has 0 scenery in 100 m, 16 in 500 m (poles, hangars, garages), ground exposure 0.69.	FARP siting example, live	| 5 | 0 | 16 | poles, hangars, garages | 0.69 |
farp candidate	dependency		Candidate 6 has 9 scenery in 100 m, 172 in 500 m (light poles 46, houses), ground exposure 0.44.	FARP siting example, live	| 6 | 9 | 172 | light poles 46, houses | 0.44 |
farp candidate	dependency		Candidate 7 has 0 scenery in 100 m, 65 in 500 m (poles, chemical tanks, hangars), ground exposure 0.78.	FARP siting example, live	| 7 | 0 | 65 | poles, chemical tanks, hangars | 0.78 |
farp candidate	dependency		Candidate 8 has 1 scenery in 100 m, 138 in 500 m (poles, chemical tanks, warehouses), ground exposure 0.56.	FARP siting example, live	| 8 | 1 | 138 | poles, chemical tanks, warehouses | 0.56 |
farp candidate selection	behavior		Candidate 2 is clear of scenery and among the least exposed; candidate 4 is equally low-exposure with a village 500 m away.	FARP siting example, live	Candidate 2 is clear of scenery and among the least exposed; candidate 4 is
farp candidate selection	behavior		A designer takes 2 or 4 and rejects 3 for buildings in the footprint radius and 7 for full exposure.	FARP siting example, live	and reject 3 (buildings inside the footprint radius) and 7 (fully exposed).
sam siting example	definition		The asset is Kutaisi airfield; targets are the airfield centre plus 24 points on a 5 km ring at 100 m AGL.	SAM siting example, live	Asset: Kutaisi airfield. Targets: the airfield centre plus 24 points on a
sam siting candidates	constraint		Candidates are a 300 m lattice 4 to 15 km from the airfield, surface land, road within 500 m.	SAM siting example, live	5 km ring, all at 100 m AGL. Candidates: 300 m lattice, 4 to 15 km from the
sam score	definition		Score is fraction of targets visible from a 6 m mast, then fraction of 7 western-arc points at 100 m AGL that cannot see the site.	SAM siting example, live	airfield, surface `land`, road within 500 m. Score: fraction of targets
sam siting example	dependency		1 979 candidates × 32 LOS calls ran in 0.9 s from the hook.	SAM siting example, live	100 m AGL that cannot see the site. 1 979 candidates × 32 LOS calls in 0.9 s
sam candidate	dependency		SAM site 1 is at (−293887, 682059), h 48 m, road 472 m, 9.2 km from asset, coverage 1.00, masked from W 1.00.	SAM siting example, live	| 1 | −293887 | 682059 | 42.09946 | 42.44780 | 48 | 472 | 9.2 | 1.00 | 1.00 |
sam candidate	dependency		SAM site 2 is at (−294487, 674859), h 47 m, road 274 m, 13.2 km from asset, coverage 1.00, masked from W 0.71.	SAM siting example, live	| 2 | −294487 | 674859 | 42.10123 | 42.36110 | 47 | 274 | 13.2 | 1.00 | 0.71 |
sam candidate	dependency		SAM site 3 is at (−294487, 690459), h 77 m, road 435 m, 11.6 km from asset, coverage 1.00, masked from W 0.71.	SAM siting example, live	| 3 | −294487 | 690459 | 42.08576 | 42.54717 | 77 | 435 | 11.6 | 1.00 | 0.71 |
sam candidate	dependency		SAM site 4 is at (−277987, 673059), h 64 m, road 131 m, 12.8 km from asset, coverage 1.00, masked from W 0.43.	SAM siting example, live	| 4 | −277987 | 673059 | 42.24962 | 42.36141 | 64 | 131 | 12.8 | 1.00 | 0.43 |
sam candidate	dependency		SAM site 5 is at (−286987, 671259), h 32 m, road 147 m, 12.8 km from asset, coverage 1.00, masked from W 0.43.	SAM siting example, live	| 5 | −286987 | 671259 | 42.17141 | 42.32800 | 32 | 147 | 12.8 | 1.00 | 0.43 |
sam masking	dependency		Every candidate on the plain sees the whole 100 m AGL ring, so masking is the discriminator.	SAM siting example, live	Every candidate on the plain sees the whole 100 m AGL ring, so masking is the
sam masking	dependency		At bearing 270 the profile rises to 108 m at 2 km from the 48 m site, above the sightline to a 137 m target at 10 km.	SAM siting example, live	rises to 108 m at 2 km from the 48 m site, above the sightline to a 137 m
sam masking	dependency		At bearing 225 a 369 m ridge at 6 km masks site 1 the same way.	SAM siting example, live	target at 10 km; at 225 a 369 m ridge at 6 km does the same.
unmasking point	dependency		An ingress at 100 m AGL from 60 km due west is first seen by site 1 at 7.8 km from the airfield.	SAM siting example, live	is first seen by site 1 at 7.8 km from the airfield.
land.getsurfacetype	dependency		20 001 sequential 1 m samples through Kutaisi airfield gave LAND 19 156, WATER 557, ROAD 90, RUNWAY 198 at 0.00075 ms/call.	Sizing figures, server state	LAND 19 156, WATER 557, ROAD 90, RUNWAY 198; 0.00075 ms/call
land.getsurfacetype	dependency		20 000 scattered land.getSurfaceType calls cost 0.078 ms/call.	Sizing figures, server state	| `land.getSurfaceType` 20 000 scattered | 0.078 ms/call |
land.getheight	dependency		20 000 sequential land.getHeight calls cost 0.00045 ms/call, equal to the hook.	Sizing figures, server state	| `land.getHeight` 20 000 sequential | 0.00045 ms/call, equal to the hook |
searchobjects timing	dependency		A 150 km SCENERY sphere at map centre returns 306 009 objects in 0.72 s.	Sizing figures, server state	306 009 objects, 0.72 s
searchobjects timing	dependency		A 600 km SCENERY sphere at map centre returns 919 641 objects in 1.34 s, the whole theatre.	Sizing figures, server state	**919 641 objects, 1.34 s**
getrunwaylist	dependency		getRunwayList on KUTAISI.rn4 returns one entry with course, edge1name, edge1x, edge1y, edge2name, edge2x, edge2y.	Airfield, beacon and radio tables, hook	`getRunwayList("./Mods/terrains/Caucasus/AirfieldsTaxiways/KUTAISI.rn4")`:
getrunwaylist	dependency		Kutaisi's runway entry has course -1.85 with edges named 25 and 07.	Airfield, beacon and radio tables, hook	one entry `{course=-1.85, edge1name="25", edge1x, edge1y, edge2name="07",
getrunwayheading	dependency		getRunwayHeading on the same file returns −1.8501 rad.	Airfield, beacon and radio tables, hook	`getRunwayHeading` on the same file returns −1.8501 (rad).
getstandlist	dependency		getStandList(roadnet, {six param names}) returns 58 entries for Kutaisi.	Airfield, beacon and radio tables, hook	`getStandList(roadnet, {"SHELTER","FOR_HELICOPTERS","FOR_AIRPLANES","WIDTH",
getstandlist	dependency		Each stand entry has crossroad_index, flag, name, x, y and a params table with the six requested keys.	Airfield, beacon and radio tables, hook	"LENGTH","HEIGHT"})`: 58 entries `{crossroad_index, flag, name, x, y,
