model	count	life	category	display_name	obb_w	obb_d	radius	type
TOPLIVO-BAK_NEW	279	5	4		11.66	19.19	11.2	65536
STANCIJA3	276	400	4		36.67	40.95	27.5	65537
IN_PAVEMENT_BI_DERECTIONAL_WHITE_WHITE	275	10000000	4		0.70	0.70	0.5	196608
CEH_A	251	2500	4		50.31	60.27	39.3	65537
UKRYTIE_B_NEW	245	1200	4		6.85	10.00	6.1	65537
VOKZ_A	243	2400	4		16.47	26.04	15.4	65537
GRADIR	189	1000	4		32.80	31.85	22.9	65536
HIM_BAK_C	188	5	4		6.90	6.90	4.9	65536
KAMAZ-FIRE	182	1.1499999761581	4
HIM_BAK_BIG	179	5	4		26.38	26.38	18.7	65537
CEH_ANG_C	178	2500	4		50.19	60.23	39.2	65537
KAMAZ-TENT	177	1.1499999761581	4
F_SKLAD	173	400	4		42.04	43.63	30.3	65537
KORPUS	162	1000	4		15.10	40.00	21.4	65537
PRICHAL	146	10000000	4		65.66	10.33	33.2	65537
GAZ-66	137	2	2	Truck GAZ-66
CEH_B	132	4800	4		173.93	101.00	100.6	65537
OHR-VYSHKA	132	3	4		2.95	2.91	2.1	65537
URAL_4320_B	126	1.1499999761581	4
TEC_A_NEW	121	1600	4		80.14	65.75	51.8	65536
KORPUS_C	120	800	4		101.83	37.70	54.3	65537
TENNIS	113	10000000	4		48.90	22.60	26.9	65536
CAFE	107	200	4		9.22	18.37	10.3	65537
WC_NEW	105	150	4		10.02	15.01	9.0	65536
PAR_AGREGATNAYA	102	20	4		4.25	6.25	3.8	65537
PAR_GSM	102	90	4		27.31	31.61	20.9	65537
MOSTIK	100	500	4		14.00	55.55	28.6	65536
IN_PAVEMENT_BI_DERECTIONAL_WHITE_ORANGE	99	10000000	4		0.65	0.65	0.5	65536
PLATFORMA_AKACYA	94	300	4		3.56	20.27	10.3	65536
MBY_SMALLLAMP_01	83	10000000	4		0.09	0.09	0.1	65536
PAR_APPARATNAYA_20	82	40	4		6.66	21.86	11.4	65537
GAZ-66_SEARCHLIGHT	79	0.80000001192093	4
DANSING	72	150	4		25.35	25.10	17.8	65537
BUFET	71	100	4		11.66	17.65	10.6	65537
HOTEL_C	69	2400	4		23.62	68.44	36.2	65537
HOTEL_B	55	2400	4		17.30	102.49	52.0	65536
DIRECTIONAL_APPROACH_LIGHTS	52	10000000	4		0.45	0.45	0.3	65536
RSP-7	50	1.1499999761581	4
WODOKACHKA_B	50	80	4		10.84	11.06	7.7	65536
VOLNOREZ	48	10000000	4		59.97	5.00	30.1	65537
MOST-FERMA-A	47	500	4		13.91	100.10	50.5	65536
URAL_ATMZ-5	46	1.1499999761581	4
BTR-80	44	3	2	APC BTR-80
MOST(ROAD)SMALL-A	43	500	4		12.07	72.16	36.6	65536
R_VOK_SD_NEW	43	1600	4		28.83	17.62	16.9	65537
AIRBASE_TBILISI_TANK_01	41	5	4		12.61	12.52	8.9	65537
RESTORAN1_NEW	40	640	4		18.09	36.14	20.2	65537
PRW-11	37	1.1499999761581	4
URAL_4320_K	37	1.1499999761581	4
URAL_ATZ-10	36	1.1499999761581	4
URAL-APA	36	1.1499999761581	4
TUNNEL_ENTRANCE_CAUC_01	36	600	4		18.75	7.47	10.1	65537
VOKZ_BIG	35	4000	4		37.52	20.21	21.3	65536
AIRBASE_TBILISI_TANK_02	32	5	4		8.77	8.86	6.2	65537
ATZ-60	29	3.5	4
CINEMA_A	29	200	4		58.55	69.08	45.3	65537
AIRBASE_BARRELS_01	25	400	4		10.87	10.36	7.5	65537
AIRBASE_AIRPORT_TBILISI_VISHKA_01	23	1000	4		3.39	4.21	2.7	65537
INZ	23	150	4		14.25	18.60	11.7	65537
PAR_APPARATNAYA	21	40	4		6.66	21.86	11.4	65536
TUAPSE_BUILDING2	17	400	4		29.28	9.88	15.5	65537
AIRBASE_AIRPORT_TBILISI_HANGAR_01	17	1000	4		17.91	46.45	24.9	65537
DIRECTIONAL_APPROACH_ELEVATED_GREEN	16	10000000	4		0.60	0.59	0.4	65536
PEREHOD	16	10000000	4		5.00	60.00	30.1	65537
TELE_BASH_M_NEW	14	200	4		97.85	98.04	69.3	65536
RLS-37	14	1.1499999761581	4
MAJAK	13	800	4		16.52	15.46	11.3	65537
KDP	13	500	4		15.43	21.52	13.2	65537
AIRBASE_AIRPORT_TBILISI_BLOCK_01	13	1000	4		3.48	9.56	5.1	65537
KOMPLEX_BIG	13	500	4		34.40	90.25	48.3	65536
MST(ROAD)SMALL	12	500	4		14.00	72.16	36.8	65536
MOSTIK-A	12	500	4		10.00	55.55	28.2	65536
B_BLOCK	12	500	4		0.56	0.94	0.5	65536
OBSERV	12	1000	4		23.83	19.47	15.4	65536
B_LEFT	11	500	4		0.44	1.67	0.9	65536
TELE_BASH_NEW	11	150	4		67.85	52.28	42.8	65536
A_BLOCK	11	500	4		0.56	0.94	0.5	65536
INZ_BIG	10	400	4		11.61	18.74	11.0	65537
MBY_CRANE_02	10	10000000	4		4.86	30.19	15.3	65536
BASHNJA-SEA	10	150	4		10.18	11.75	7.8	65536
TUAPSE_TOWERB	10	200	4		11.52	10.12	7.7	65537
MBY_TANK_02	9	10000000	4		1.43	1.19	0.9	65536
BATUMI_HANGAR_SMALL	9	1000	4		12.61	31.14	16.8	65537
BATUMI_HANGAR_MED	9	1000	4		21.57	33.41	19.9	65537
KOMPLEX	9	400	4		15.99	51.38	26.9	65537
RSP_DRL-7	8	10	4
RSP_PELENG	8	10	4
RSP_RADIO	8	5	4
URAL_4320-31	8	1.1499999761581	4
AIRBASE_AIRPORT_TBILISI_03_02	8	1000	4		28.85	75.59	40.5	65537
RSP_ESD-20	8	10	4
FERMA_B_NEW	7	400	4		23.37	119.92	61.1	65537
WODOKACHKA_A_NEW	7	150	4		7.20	8.31	5.5	65536
COURSE_27_09	7	500	4		0.56	2.15	1.1	65536
B_RIGHT	6	500	4		0.45	1.68	0.9	65536
STADION_SMALL	6	800	4		206.06	143.31	125.5	65536
KORPUS_ATOM	6	500	4		65.21	120.16	68.4	65537
C_LEFT	6	500	4		0.44	1.67	0.9	65536
TUAPSE_PETROLEUM_TANKAGE	6	500	4		12.07	12.78	8.8	65537
C_BLOCK	6	500	4		0.56	0.94	0.5	65536
E_BLOCK	5	10000000	4		0.56	0.94	0.5	65536
TUAPSE_TOWERC	5	200	4		10.13	17.08	9.9	65536
FOOTBALL	5	10000000	4		192.55	79.81	104.2	65536
TUAPSE_TOWERA	5	200	4		10.90	19.90	11.3	65536
PAVILYON1_NEW	4	200	4		10.97	21.12	11.9	65536
AIRPORT	4	2400	4		59.36	60.14	42.3	65537
E_LEFT	4	10000000	4		0.44	1.67	0.9	65536
RSBN_GENER	4	1	4
DOK_S_NEW	4	300	4		35.30	93.78	50.1	65536
AIRBASE_VOR	4	3	4		30.06	30.06	21.3	65536
SARAY-F_NEW	4	20	4		5.30	7.85	4.7	65537
A_FRWD	4	500	4		0.45	1.68	0.9	65536
D_RIGHT	4	500	4		0.45	1.68	0.9	65536
URAL_4320_T	4	1.1499999761581	4
RSBN_GSM	4	0.80000001192093	4
AIRBASE_BARRELS_02	4	400	4		11.04	12.58	8.4	65537
F_HOME3_C	4	300	4		21.49	41.54	23.4	65537
RSBN	4	6	4
KDP_BIG	4	1000	4		11.47	29.18	15.7	65537
METEOBURO	3	6000	4		50.14	56.86	37.9	65536
A_LEFT	3	500	4		0.44	1.67	0.9	65536
MORVOK	3	1600	4		70.49	40.44	40.6	65537
ONE_PIECE_BRIDGE	3	10000000	4		21.41	560.00	280.2	65536
F_BLOCK	3	10000000	4		0.56	0.94	0.5	65536
SARAY-D_NEW	3	75	4		7.70	11.56	6.9	65537
TUAPSE_DEOILER	3	500	4		14.48	29.52	16.4	65537
PAVILYON	3	200	4		20.46	23.62	15.6	65536
D_LEFT	3	500	4		0.44	1.67	0.9	65536
C_RIGHT	3	500	4		0.45	1.68	0.9	65536
D_BLOCK	3	500	4		0.56	0.94	0.5	65536
A_RIGHT	3	500	4		0.45	1.68	0.9	65536
MBY_PLATFORM_02	2	10000000	4		15.62	12.19	9.9	65536
BASCETBALL	2	10000000	4		49.64	24.64	27.7	65537
CEH_B1	2	4800	4		172.16	99.93	99.5	65537
AIRBASE_TBILISI_TENT	2	20	4		12.29	16.20	10.2	65537
ROKITUNNELENTRANCE01	2	200	4		20.20	42.42	23.5	65536
AIRBASE_AIRPORT_TBILISI_VISHKA_01_CRASH	2	500	4		4.19	16.76	8.6	65536
MBY_DERRICK_02	2	10000000	4		19.64	11.54	11.4	65537
MAJAK-1	2	800	4		14.01	14.01	9.9	65536
E_RIGHT	2	10000000	4		0.45	1.68	0.9	65536
MBY_13	1	10000000	4		46.99	68.01	41.3	65536
LOKATOR	1	10	4		25.14	20.14	16.1	65537
CEH_D	1	2500	4		40.75	84.81	47.0	65537
SECTION_MAIN	1	600	4		20.81	12.64	12.2	65536
MIG19-MONUMENT	1	80	4		10.90	13.48	8.7	65537
VOK_SIM_A	1	1000	4		75.20	86.00	57.1	65537
VOK_SIM_D	1	1000	4		21.96	21.96	15.5	65537
MBY15_HELIPAD	1	10000000	4		25.82	26.08	18.3	65536
PAPISYSTEM_2	1	10000000	4		2.03	1.94	1.4	65536
PAPISYSTEM_4	1	10000000	4		2.03	1.94	1.4	65536
AIRBASE_AIRPORT_KDP_TBILISI	1	1000	4		19.04	16.02	12.4	65537
AIRPORT_BABUSHARA_OLD	1	1000	4		54.16	43.11	34.6	65537
MBY13_HELIPAD	1	10000000	4		30.63	27.71	20.7	65536
PAPISYSTEM_1	1	10000000	4		2.03	1.94	1.4	65536
AIRBASE_METEO_TBILISI_01	1	1000	4		6.12	6.20	4.4	65537
WAREHOUSE_BABUSHARA_01	1	1000	4		48.06	38.21	30.7	65537
VOK_SIM_C	1	1000	4		22.15	42.24	23.8	65537
MBY_15	1	10000000	4		76.52	60.30	48.7	65536
AIRPORT_BABUSHARA_NEW	1	1000	4		153.20	100.27	91.5	65537
VOK_SIM_B	1	2800	4		19.93	163.22	82.2	65537
VOK_SIM_E	1	800	4		9.69	30.28	15.9	65537
ONE_PIECE_BRIDGE02	1	10000000	4		21.13	1360.00	680.1	65536
BATUMI_KDP	1	1000	4		17.03	22.81	14.2	65537
TERMINAL_1	1	1000	4		122.56	184.28	110.7	65536
PAPISYSTEM_3	1	10000000	4		2.03	1.94	1.4	65536
